,Industrial Risk,Management Risk,Financial Flexibility,Credibility,Competitiveness,Operating Risk,Class,Class Code
0,0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
1,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
2,1.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
3,0.5,0.0,0.0,0.5,0.0,1.0,bankruptcy,0
4,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
5,1.0,1.0,0.0,0.5,0.0,0.5,bankruptcy,0
6,1.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
7,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
8,1.0,1.0,0.0,0.5,0.0,0.0,bankruptcy,0
9,1.0,1.0,0.0,0.5,0.0,1.0,bankruptcy,0
10,1.0,1.0,0.5,0.0,0.0,1.0,bankruptcy,0
11,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
12,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
13,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
14,0.0,1.0,0.0,0.0,0.5,0.5,bankruptcy,0
15,0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
16,0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
17,0.5,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
18,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
19,0.0,0.5,0.0,0.0,0.0,0.5,bankruptcy,0
20,0.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
21,0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
22,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
23,1.0,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
24,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
25,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
26,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
27,0.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
28,0.5,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
29,0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
30,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
31,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
32,1.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
33,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
34,1.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
35,0.5,0.0,0.0,0.5,0.0,1.0,bankruptcy,0
36,1.0,1.0,0.0,1.0,0.0,0.0,bankruptcy,0
37,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
38,1.0,1.0,0.0,0.5,0.0,0.5,bankruptcy,0
39,1.0,1.0,0.0,1.0,0.0,1.0,bankruptcy,0
40,1.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
41,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
42,1.0,1.0,0.0,0.5,0.0,0.0,bankruptcy,0
43,1.0,1.0,0.0,0.5,0.0,1.0,bankruptcy,0
44,1.0,1.0,0.5,0.0,0.0,1.0,bankruptcy,0
45,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
46,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
47,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
48,0.0,1.0,0.0,0.0,0.5,0.5,bankruptcy,0
49,0.0,1.0,0.0,0.0,0.5,0.5,bankruptcy,0
50,0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
51,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
52,1.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
53,0.5,0.0,0.0,0.5,0.0,1.0,bankruptcy,0
54,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
55,1.0,1.0,0.0,0.5,0.0,0.5,bankruptcy,0
56,1.0,1.0,0.0,1.0,0.0,1.0,bankruptcy,0
57,1.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
58,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
59,1.0,1.0,0.0,0.5,0.0,0.0,bankruptcy,0
60,0.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
61,0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
62,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
63,1.0,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
64,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
65,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
66,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
67,1.0,1.0,0.0,0.5,0.0,1.0,bankruptcy,0
68,1.0,1.0,0.5,0.0,0.0,1.0,bankruptcy,0
69,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
70,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
71,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
72,1.0,0.5,1.0,0.5,0.0,0.0,bankruptcy,0
73,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
74,1.0,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
75,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
76,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
77,0.5,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
78,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
79,0.0,0.5,0.0,0.0,0.0,0.5,bankruptcy,0
80,0.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
81,0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
82,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
83,1.0,0.5,0.0,0.0,0.0,0.0,bankruptcy,0
84,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
85,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
86,0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
87,0.5,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
88,0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
89,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
90,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
91,1.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0
92,0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
93,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
94,1.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0
95,0.5,0.0,0.0,0.5,0.0,1.0,bankruptcy,0
96,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
97,1.0,1.0,0.0,0.5,0.0,0.5,bankruptcy,0
